weight,some of,Normalized
0.398141656,TRUE,TRUE
0.398569525,TRUE,TRUE
0.203288819,FALSE,TRUE
0.900848218,TRUE,TRUE
0.066622232,FALSE,TRUE
0.03252955,FALSE,TRUE
0.021376196,FALSE,TRUE
0.978623804,TRUE,TRUE
0.849838248,FALSE,TRUE
0.150161752,FALSE,TRUE
0.554117417,TRUE,TRUE
0.445882583,FALSE,TRUE
0.030606934,FALSE,TRUE
0.969393066,TRUE,TRUE
0.579034025,TRUE,TRUE
0.420965975,FALSE,TRUE
0.847818454,FALSE,TRUE
0.152181546,FALSE,TRUE
0.969515304,FALSE,TRUE
0.030484696,FALSE,TRUE
0.593041867,FALSE,TRUE
0.406958133,FALSE,TRUE
0.489747465,FALSE,TRUE
0.510252535,TRUE,TRUE
0.508751343,TRUE,TRUE
0.491248657,TRUE,TRUE
0.975496069,TRUE,TRUE
0.024503931,FALSE,TRUE
0.438929549,FALSE,TRUE
0.561070451,FALSE,TRUE
0.330158734,FALSE,TRUE
0.669841266,TRUE,TRUE
0.131503954,FALSE,TRUE
0.868496046,TRUE,TRUE
0.900883171,FALSE,TRUE
0.099116829,FALSE,TRUE
0.170387135,FALSE,TRUE
0.48652251,TRUE,TRUE
0.343090356,TRUE,TRUE
0.44593341,FALSE,TRUE
0.55406659,TRUE,TRUE
0.499639393,TRUE,TRUE
0.500360607,TRUE,TRUE
0.484194825,FALSE,TRUE
0.515805175,TRUE,TRUE
0.683299857,FALSE,TRUE
0.316700143,FALSE,TRUE
0.011568853,FALSE,TRUE
0.988431147,TRUE,TRUE
0.499938253,TRUE,TRUE
0.500061747,TRUE,TRUE
0.501571142,FALSE,TRUE
0.498428858,FALSE,TRUE
0.499703322,TRUE,TRUE
0.500296678,FALSE,TRUE
0.861684768,TRUE,TRUE
0.138315232,FALSE,TRUE
0.052460876,FALSE,TRUE
0.947539124,FALSE,TRUE
0.499061931,FALSE,TRUE
0.500938069,FALSE,TRUE
0.010872408,FALSE,TRUE
0.989127592,TRUE,TRUE
0.597899333,TRUE,TRUE
0.402100667,FALSE,TRUE
0.330956273,FALSE,TRUE
0.319906359,FALSE,TRUE
0.349137368,FALSE,TRUE
0.499911126,TRUE,TRUE
0.500088874,TRUE,TRUE
0.016571095,FALSE,TRUE
0.983428905,TRUE,TRUE
0.486867923,FALSE,TRUE
0.513132077,TRUE,TRUE
0.501303327,TRUE,TRUE
0.498696673,FALSE,TRUE
0.538036562,FALSE,TRUE
0.461963438,FALSE,TRUE
0.016501992,TRUE,TRUE
0.983498008,TRUE,TRUE
0.518193326,FALSE,TRUE
0.481806674,FALSE,TRUE
0.987524588,FALSE,TRUE
0.012475412,FALSE,TRUE
0.499925455,TRUE,TRUE
0.500074545,TRUE,TRUE
0.407607098,FALSE,TRUE
0.036033663,FALSE,TRUE
0.556359238,FALSE,TRUE
0.411899336,FALSE,TRUE
0.588100664,TRUE,TRUE
0.986805257,FALSE,TRUE
0.013194743,FALSE,TRUE
0.030976239,FALSE,TRUE
0.969023761,TRUE,TRUE
0.661865312,TRUE,TRUE
0.338134688,FALSE,TRUE
0.50108339,TRUE,TRUE
0.49891661,FALSE,TRUE
0.579472467,FALSE,TRUE
0.420527533,FALSE,TRUE
0.465555463,TRUE,TRUE
0.534444537,TRUE,TRUE
0.017747397,FALSE,TRUE
0.03349608,FALSE,TRUE
0.948756524,TRUE,TRUE
0.042298055,FALSE,TRUE
0.957701945,FALSE,TRUE
0.502667213,TRUE,TRUE
0.497332787,FALSE,TRUE
0.969337363,FALSE,TRUE
0.030662637,FALSE,TRUE
0.692096802,FALSE,TRUE
0.307903198,FALSE,TRUE
0.034530873,FALSE,TRUE
0.965469127,FALSE,TRUE
0.94846276,TRUE,TRUE
0.05153724,FALSE,TRUE
0.481516603,FALSE,TRUE
0.518483397,FALSE,TRUE
0.480362092,FALSE,TRUE
0.519637908,FALSE,TRUE
0.500383919,TRUE,TRUE
0.499616081,TRUE,TRUE
0.036223187,FALSE,TRUE
0.963776813,TRUE,TRUE
0.5000514,TRUE,TRUE
0.4999486,TRUE,TRUE
0.985710253,TRUE,TRUE
0.014289747,FALSE,TRUE
0.231444806,FALSE,TRUE
0.383738322,TRUE,TRUE
0.384816873,TRUE,TRUE
0.613580448,TRUE,TRUE
0.386419552,TRUE,TRUE
0.614219068,TRUE,TRUE
0.385780932,TRUE,TRUE
0.49480742,FALSE,TRUE
0.50519258,TRUE,TRUE
0.634231645,FALSE,TRUE
0.365768355,FALSE,TRUE
0.992336599,TRUE,TRUE
0.007663401,FALSE,TRUE
0.985509094,FALSE,TRUE
0.014490906,FALSE,TRUE
0.497424921,FALSE,TRUE
0.498616913,FALSE,TRUE
0.003958166,FALSE,TRUE
0.501597878,FALSE,TRUE
0.498402122,FALSE,TRUE
0.981423892,FALSE,TRUE
0.009330301,FALSE,TRUE
0.009245807,FALSE,TRUE
0.787569491,FALSE,TRUE
0.212430509,FALSE,TRUE
0.495462593,FALSE,TRUE
0.504537407,FALSE,TRUE
0.504149182,TRUE,TRUE
0.495850818,FALSE,TRUE
0.335628023,TRUE,TRUE
0.334013426,TRUE,TRUE
0.330358551,TRUE,TRUE
0.07612413,FALSE,TRUE
0.92387587,TRUE,TRUE
0.992343638,TRUE,TRUE
0.007656362,FALSE,TRUE
0.49988174,TRUE,TRUE
0.494349305,FALSE,TRUE
0.005768955,FALSE,TRUE
0.502077651,TRUE,TRUE
0.497922349,TRUE,TRUE
0.14931665,FALSE,TRUE
0.85068335,FALSE,TRUE
0.500909903,TRUE,TRUE
0.499090097,TRUE,TRUE
0.50092056,TRUE,TRUE
0.49907944,TRUE,TRUE
0.307509217,FALSE,TRUE
0.341086883,TRUE,TRUE
0.3514039,TRUE,TRUE
0.418004859,TRUE,TRUE
0.377773657,FALSE,TRUE
0.204221484,FALSE,TRUE
0.155980113,FALSE,TRUE
0.844019887,TRUE,TRUE
0.057375581,FALSE,TRUE
0.942624419,TRUE,TRUE
0.33752339,FALSE,TRUE
0.66247661,FALSE,TRUE
0.625677687,FALSE,TRUE
0.374322313,FALSE,TRUE
0.111916498,FALSE,TRUE
0.888083502,FALSE,TRUE
0.801098065,TRUE,TRUE
0.081114618,FALSE,TRUE
0.117787317,FALSE,TRUE
0.500274966,FALSE,TRUE
0.499725034,FALSE,TRUE
0.310826951,FALSE,TRUE
0.689173049,TRUE,TRUE
0.075242184,FALSE,TRUE
0.924757816,TRUE,TRUE
0.495774151,TRUE,TRUE
0.504225849,TRUE,TRUE
0.500388602,TRUE,TRUE
0.499611398,TRUE,TRUE
0.499481328,TRUE,TRUE
0.500518672,TRUE,TRUE
0.129029636,FALSE,TRUE
0.870970364,TRUE,TRUE
0.356330763,TRUE,TRUE
0.343197797,FALSE,TRUE
0.30047144,FALSE,TRUE
0.336863668,TRUE,TRUE
0.338271976,TRUE,TRUE
0.324864356,FALSE,TRUE
0.228492664,FALSE,TRUE
0.771507336,FALSE,TRUE
0.233600757,FALSE,TRUE
0.69153857,FALSE,TRUE
0.074860673,FALSE,TRUE
0.014131269,FALSE,TRUE
0.985868731,TRUE,TRUE
0.564432261,TRUE,TRUE
0.435567739,FALSE,TRUE
0.470965071,FALSE,TRUE
0.529034929,FALSE,TRUE
0.508993475,FALSE,TRUE
0.491006525,FALSE,TRUE
0.486346245,FALSE,TRUE
0.513653755,TRUE,TRUE
0.991210761,TRUE,TRUE
0.008789239,FALSE,TRUE
0.890844294,FALSE,TRUE
0.109155706,FALSE,TRUE
0.675246795,TRUE,TRUE
0.324753205,FALSE,TRUE
0.096800296,FALSE,TRUE
0.903199704,TRUE,TRUE
0.983242107,FALSE,TRUE
0.008403269,FALSE,TRUE
0.008354625,FALSE,TRUE
0.24141052,FALSE,TRUE
0.75858948,FALSE,TRUE
0.502180739,TRUE,TRUE
0.497819261,TRUE,TRUE
0.231832661,FALSE,TRUE
0.768167339,TRUE,TRUE
0.991511563,TRUE,TRUE
0.008488437,FALSE,TRUE
0.984671329,TRUE,TRUE
0.015328671,FALSE,TRUE
0.500963398,TRUE,TRUE
0.499036602,TRUE,TRUE
0.497828334,TRUE,TRUE
0.480195655,TRUE,TRUE
0.021976011,TRUE,TRUE
0.767341029,FALSE,TRUE
0.0943877,FALSE,TRUE
0.138271271,FALSE,TRUE
0.505577044,TRUE,TRUE
0.494422956,TRUE,TRUE
0.027933203,FALSE,TRUE
0.972066797,TRUE,TRUE
0.505325012,TRUE,TRUE
0.494674988,FALSE,TRUE
0.56405837,FALSE,TRUE
0.43594163,FALSE,TRUE
0.006157843,FALSE,FALSE
0.062895544,TRUE,FALSE
0.062963136,TRUE,FALSE
0.0321141,FALSE,FALSE
0.07547126,TRUE,FALSE
0.005581477,FALSE,FALSE
0.002725261,FALSE,FALSE
0.167587489,TRUE,FALSE
0.128319263,TRUE,FALSE
0.003647087,FALSE,FALSE
0.166967303,TRUE,FALSE
0.094630107,TRUE,FALSE
0.046586201,TRUE,FALSE
0.106923304,TRUE,FALSE
0.083740227,TRUE,FALSE
0.084467515,TRUE,FALSE
0.084954374,TRUE,FALSE
0.13108553,TRUE,FALSE
0.086533375,TRUE,FALSE
0.017686686,FALSE,FALSE
0.00312514,FALSE,FALSE
0.071541898,TRUE,FALSE
0.057567738,FALSE,FALSE
0.134820789,TRUE,FALSE
0.129015103,TRUE,FALSE
0.0975243,TRUE,FALSE
0.107692309,TRUE,FALSE
0.095202379,TRUE,FALSE
0.004681214,FALSE,FALSE
0.004364408,FALSE,FALSE
0.138230994,TRUE,FALSE
0.002779779,FALSE,FALSE
0.063377537,FALSE,FALSE
0.116331667,TRUE,FALSE
0.080715507,TRUE,FALSE
0.151423275,TRUE,FALSE
0.092973456,TRUE,FALSE
0.087813266,TRUE,FALSE
0.087550141,TRUE,FALSE
0.063650198,FALSE,FALSE
0.063708462,TRUE,FALSE
0.066946611,FALSE,FALSE
0.017591044,FALSE,FALSE
0.003157554,FALSE,FALSE
0.095621519,FALSE,FALSE
0.095392786,FALSE,FALSE
0.130715668,TRUE,FALSE
0.052915897,FALSE,FALSE
0.010702493,FALSE,FALSE
0.066363446,FALSE,FALSE
0.005464023,FALSE,FALSE
0.091301151,TRUE,FALSE
0.084520385,FALSE,FALSE
0.002657594,FALSE,FALSE
0.06250231,FALSE,FALSE
0.096679412,FALSE,FALSE
0.076619379,TRUE,FALSE
0.084923774,FALSE,FALSE
0.122080185,TRUE,FALSE
0.044334427,FALSE,FALSE
0.014789236,FALSE,FALSE
0.010148693,FALSE,FALSE
0.132701218,TRUE,FALSE
0.056448404,FALSE,FALSE
0.094620772,FALSE,FALSE
0.098582417,TRUE,FALSE
0.093736015,TRUE,FALSE
0.114529841,TRUE,FALSE
0.099241883,TRUE,FALSE
0.05099358,TRUE,FALSE
0.049239237,TRUE,FALSE
0.126534894,TRUE,FALSE
0.157882214,TRUE,FALSE
0.130319595,TRUE,FALSE
0.003273557,FALSE,FALSE
0.083596125,TRUE,FALSE
0.08663056,TRUE,FALSE
0.005729799,FALSE,FALSE
0.007324229,FALSE,FALSE
0.076643102,TRUE,FALSE
0.084409945,TRUE,FALSE
0.04963145,TRUE,FALSE
0.10268344,FALSE,FALSE
0.102002472,TRUE,FALSE
0.048908476,FALSE,FALSE
0.099227771,TRUE,FALSE
0.068169303,TRUE,FALSE
0.084521182,TRUE,FALSE
0.016572526,FALSE,FALSE
0.109450497,TRUE,FALSE
0.096457057,FALSE,FALSE
0.089693323,TRUE,FALSE
0.046454608,TRUE,FALSE
0.076118045,TRUE,FALSE
0.080470882,TRUE,FALSE
0.033991978,TRUE,FALSE
0.064906001,TRUE,FALSE
0.049597453,FALSE,FALSE
0.005456803,FALSE,FALSE
0.06948936,TRUE,FALSE
0.085636549,TRUE,FALSE
0.064791523,TRUE,FALSE
0.087378219,TRUE,FALSE
0.136428982,TRUE,FALSE
0.116440356,FALSE,FALSE
0.024091326,FALSE,FALSE
0.068790242,TRUE,FALSE
0.048510127,TRUE,FALSE
0.123587929,FALSE,FALSE
0.11186444,TRUE,FALSE
0.090320572,TRUE,FALSE
0.086842768,TRUE,FALSE
0.066102222,FALSE,FALSE
0.08213117,TRUE,FALSE
0.073119491,TRUE,FALSE
0.077038303,TRUE,FALSE
0.129219532,TRUE,FALSE
0.051022246,TRUE,FALSE
0.051095895,TRUE,FALSE
0.060144685,FALSE,FALSE
0.101308286,TRUE,FALSE
0.093323037,FALSE,FALSE
0.0966103,TRUE,FALSE
0.099856332,FALSE,FALSE
0.106375389,TRUE,FALSE
0.214993775,TRUE,FALSE
0.061709337,FALSE,FALSE
0.028601434,FALSE,FALSE
0.111826159,TRUE,FALSE
0.001779853,FALSE,FALSE
0.152068853,TRUE,FALSE
0.050023656,TRUE,FALSE
0.050036013,TRUE,FALSE
0.004277315,FALSE,FALSE
0.080876186,FALSE,FALSE
0.099179238,TRUE,FALSE
0.198434815,TRUE,FALSE
0.184548616,TRUE,FALSE
0.110160299,TRUE,FALSE
0.08811377,TRUE,FALSE
0.23921828,TRUE,FALSE
0.06692566,FALSE,FALSE
0.066506378,FALSE,FALSE
0.08225698,FALSE,FALSE
0.087655365,TRUE,FALSE
0.170417577,TRUE,FALSE
0.002860144,FALSE,FALSE
0.002010816,FALSE,FALSE
0.111181974,TRUE,FALSE
0.131751224,TRUE,FALSE
0.073153347,TRUE,FALSE
0.086155057,TRUE,FALSE
0.066460721,TRUE,FALSE
0.066539638,FALSE,FALSE
0.087359391,TRUE,FALSE
0.070468351,TRUE,FALSE
0.093918629,TRUE,FALSE
0.015075556,FALSE,FALSE
0.002053007,FALSE,FALSE
0.037081048,FALSE,FALSE
0.111162513,TRUE,FALSE
0.166632265,FALSE,FALSE
0.055278029,FALSE,FALSE
0.003226519,FALSE,FALSE
0.003238649,FALSE,FALSE
0.173795775,TRUE,FALSE
0.133352503,TRUE,FALSE
0.015302951,TRUE,FALSE
0.114907213,TRUE,FALSE
0.056004804,TRUE,FALSE
0.001414474,FALSE,FALSE
0.128683105,TRUE,FALSE
0.11968039,TRUE,FALSE
0.080989167,TRUE,FALSE
0.110073268,TRUE,FALSE
0.074026734,FALSE,FALSE
0.084316902,TRUE,FALSE
0.125472873,FALSE,FALSE
0.001542608,FALSE,FALSE
0.122438774,TRUE,FALSE
0.079627618,TRUE,FALSE
0.091285072,TRUE,FALSE
0.095379815,TRUE,FALSE
0.001762222,FALSE,FALSE
0.001703385,FALSE,FALSE
0.00185903,FALSE,FALSE
0.001707869,FALSE,FALSE
0.042621538,TRUE,FALSE
0.042636693,TRUE,FALSE
0.062142629,FALSE,FALSE
0.086848661,TRUE,FALSE
0.129351452,TRUE,FALSE
0.025865333,FALSE,FALSE
0.073030002,TRUE,FALSE
0.170541257,TRUE,FALSE
0.080597237,TRUE,FALSE
0.075591661,TRUE,FALSE
0.112118363,TRUE,FALSE
0.16411671,TRUE,FALSE
0.063753642,TRUE,FALSE
0.001291423,FALSE,FALSE
0.076640822,TRUE,FALSE
0.001185958,FALSE,FALSE
0.101190567,TRUE,FALSE
0.1227566,FALSE,FALSE
0.129378721,TRUE,FALSE
0.132922813,TRUE,FALSE
0.120581307,TRUE,FALSE
0.054029312,TRUE,FALSE
0.053748373,FALSE,FALSE
0.108401418,TRUE,FALSE
0.103662536,TRUE,FALSE
0.079668008,TRUE,FALSE
0.070850909,TRUE,FALSE
0.183928534,TRUE,FALSE
0.049719032,TRUE,FALSE
0.002492076,FALSE,FALSE
0.100643963,TRUE,FALSE
0.001183938,FALSE,FALSE
0.089942105,TRUE,FALSE
0.054797187,FALSE,FALSE
