Item	workerid	Rating	Partitive	StrengthSome	Mention	Subjecthood	Modification	Sentence	SentenceLength	Trial
176651:43	22	5	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	25	4	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	33	7	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	9	3	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	18	7	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	26	7	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	10	7	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	30	1	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	3	6	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
176651:43	20	7	yes	5.7	new	other	modified	a, a contractor friend helped me, uh, with some of the, uh, foundation work	14	1
108182:30	16	2	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	11	6	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	7	7	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	12	2	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	24	3	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	32	6	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	10	2	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	30	7	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	5	6	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
108182:30	17	1	no	5.4	med	other	unmodified	i guess you have  to take some things and leave some things.	13	1
20718:26	4	7	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	13	3	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	22	2	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	26	6	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	10	5	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	30	7	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	5	6	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	2	6	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	23	1	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1
20718:26	27	6	no	6.4	new	other	modified	well, i know that we have some relatives that  live around, like the mumblex area in there,	18	1